# Time-averaged data for fix 3
tstep t T P density a b c Etot Eke Epe Epair
6025 124100 128.53 51.6125 1.16519 38.4681 38.4681 38.4681 -731.137 382.742 -1113.88 -1113.88
6050 124200 127.122 175.75 1.17383 38.3735 38.3735 38.3735 -722.446 378.548 -1100.99 -1100.99
6075 124300 134.557 163.531 1.17584 38.3517 38.3517 38.3517 -707.669 400.688 -1108.36 -1108.36
6100 124400 129.408 138.752 1.17025 38.4126 38.4126 38.4126 -713.335 385.354 -1098.69 -1098.69
6125 124500 125.301 46.8052 1.16153 38.5085 38.5085 38.5085 -727.151 373.126 -1100.28 -1100.28
6150 124600 121.61 -16.9351 1.15857 38.5413 38.5413 38.5413 -743.149 362.133 -1105.28 -1105.28
6175 124700 131.089 28.1107 1.16739 38.444 38.444 38.444 -721.641 390.359 -1112 -1112
6200 124800 132.659 163.563 1.18319 38.2721 38.2721 38.2721 -712.807 395.036 -1107.84 -1107.84
6225 124900 128.58 238.658 1.192 38.1776 38.1776 38.1776 -720.445 382.889 -1103.33 -1103.33
6250 125000 129.083 160.956 1.18654 38.236 38.236 38.236 -725.388 384.387 -1109.78 -1109.78
